単語,回数
ウ,4917
ン,3303
ョ,3114
シ,3109
イ,2545
ク,1975
キ,1888
ュ,1875
リ,1526
カ,1454
ジ,1331
チ,1293
コ,900
ツ,869
タ,788
ト,753
セ,690
ッ,675
ア,662
ラ,647
ガ,641
ミ,599
ャ,593
マ,589
オ,588
ス,569
ケ,553
ー,542
サ,535
ナ,450
ド,444
テ,442
エ,432
ハ,432
モ,430
ダ,407
ニ,401
ロ,399
ヒ,398
レ,387
フ,379
ブ,377
バ,368
ワ,361
ギ,349
ゴ,326
ル,324
ソ,319
メ,316
ノ,315
ヤ,301
ヨ,278
ホ,257
ビ,256
ボ,249
ゲ,246
グ,241
ム,234
ズ,211
ネ,211
ザ,202
デ,170
ユ,158
ゼ,137
ヘ,125
ベ,108
ゾ,99
ヅ,93
パ,88
プ,83
ピ,79
ィ,53
ヌ,49
ポ,48
ペ,30
ェ,25
ァ,20
ォ,8
ヂ,5
